"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（�u）","取引価格（�u単価）","土地の形状","間口","延床面積（�u）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"宅地(土地と建物)","成約価格情報","","01203","北海道","小樽市","稲穂","小樽",15,3000000,"","５ＬＤＫ",190,"","","",75,"1972年","木造","","","北","公道",6,"１中住専",60,200,"2023年第4四半期","",""
"中古マンション等","成約価格情報","","01203","北海道","小樽市","稲穂","小樽",1,30000000,"","３ＬＤＫ",80,"","","","","2009年","ＲＣ","","","","","","商業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","","01203","北海道","小樽市","稲穂","小樽",3,27000000,"","３ＬＤＫ",90,"","","","","2009年","ＲＣ","","","","","","商業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","","01203","北海道","小樽市","稲穂","小樽",1,29000000,"","４ＬＤＫ",100,"","","","","2009年","ＲＣ","","","","","","商業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","","01203","北海道","小樽市","稲穂","小樽",1,20000000,"","１ＬＤＫ",70,"","","","","2009年","ＲＣ","","","","","","商業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","","01203","北海道","小樽市","稲穂","小樽",8,20000000,"","３ＬＤＫ",80,"","","","","1997年","ＳＲＣ","","","","","","商業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","","01203","北海道","小樽市","稲穂","小樽",5,9300000,"","２ＬＤＫ",60,"","","","","1992年","ＳＲＣ","","","","","","商業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","","01203","北海道","小樽市","稲穂","小樽",6,5800000,"","２ＬＤＫ",55,"","","","","1988年","ＳＲＣ","","","","","","商業","","","2024年第1四半期","",""
"中古マンション等","成約価格情報","","01203","北海道","小樽市","稲穂","小樽",1,44000000,"","３ＬＤＫ",140,"","","","","2009年","ＲＣ","","","","","","商業","","","2024年第1四半期","",""
"中古マンション等","成約価格情報","","01203","北海道","小樽市","稲穂","小樽",7,15000000,"","３ＬＤＫ",80,"","","","","1997年","ＳＲＣ","","","","","","商業","","","2024年第1四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","01203","北海道","小樽市","稲穂","小樽",11,2500000,"","",180,"","ほぼ長方形",15.8,180,"","木造","住宅","住宅","南東","市道",5.5,"１中住専",60,200,"2024年第1四半期","",""
"宅地(土地と建物)","不動産取引価格情報","商業地","01203","北海道","小樽市","稲穂","小樽",6,15000000,"","",160,"","ほぼ長方形",14.5,270,"1995年","木造","住宅、店舗","その他","南東","市道",12.7,"商業",80,400,"2024年第1四半期","",""
"宅地(土地)","不動産取引価格情報","商業地","01203","北海道","小樽市","稲穂","小樽",6,28000000,400000,"",230,120000,"長方形",14.5,"","","","","その他","北東","私道",5.5,"商業",80,400,"2024年第1四半期","",""
"宅地(土地と建物)","不動産取引価格情報","商業地","01203","北海道","小樽市","稲穂","小樽",9,11000000,"","",140,"","長方形",7.5,770,"1989年","鉄骨造","事務所、店舗","店舗","南西","市道",10.9,"商業",80,600,"2024年第1四半期","","調停・競売等"
"宅地(土地)","不動産取引価格情報","住宅地","01203","北海道","小樽市","稲穂","小樽",10,1600000,67000,"",80,20000,"長方形",9.4,"","","","","その他","北","市道",9.1,"１中住専",60,200,"2023年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","01203","北海道","小樽市","稲穂","小樽",15,3000000,"","",190,"","不整形",21.1,75,"1972年","木造","住宅","","北西","市道",8,"１中住専",60,200,"2023年第4四半期","",""
"中古マンション等","不動産取引価格情報","","01203","北海道","小樽市","稲穂","小樽",1,27000000,"","３ＬＤＫ",80,"","","","","2009年","ＲＣ","住宅","住宅","","","","商業",80,600,"2023年第4四半期","未改装",""
